"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
4134233786,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/167066363","Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Menemerus","Menemerus semilimbatus",NA,"SPECIES","Menemerus semilimbatus (Hahn, 1829)","Menemerus semilimbatus",NA,"IT","","Veneto","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.384175,11.042781,NA,NA,NA,NA,NA,NA,"2023-06-12T16:43:47",12,6,2023,2169069,2169069,"HUMAN_OBSERVATION","iNaturalist","Observations","167066363",NA,"carpano","2023-06-12T19:23:40","CC_BY_NC_4_0","carpano","carpano",NA,NA,2023-06-21 11:24:50,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4134214433,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/167000496","Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Menemerus","Menemerus semilimbatus",NA,"SPECIES","Menemerus semilimbatus (Hahn, 1829)","Menemerus semilimbatus",NA,"IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.672108,9.529138,4,NA,NA,NA,NA,NA,"2023-06-12T14:32:55",12,6,2023,2169069,2169069,"HUMAN_OBSERVATION","iNaturalist","Observations","167000496",NA,"alberto_chirico","2023-06-12T12:33:57","CC_BY_NC_4_0","alberto_chirico","alberto_chirico",NA,NA,2023-06-21 11:12:46,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4134173325,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/166976853","Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Menemerus","Menemerus semilimbatus",NA,"SPECIES","Menemerus semilimbatus (Hahn, 1829)","Menemerus semilimbatus",NA,"IT","","Liguria","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",44.254467,9.480174,2,NA,NA,NA,NA,NA,"2023-06-09T17:51:00",9,6,2023,2169069,2169069,"HUMAN_OBSERVATION","iNaturalist","Observations","166976853",NA,"Francis Birlenbach","2023-06-12T08:08:05","CC_BY_NC_4_0","Francis Birlenbach","Francis Birlenbach",NA,NA,2023-06-21 11:23:37,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4134104997,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/166585320","Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Menemerus","Menemerus semilimbatus",NA,"SPECIES","Menemerus semilimbatus (Hahn, 1829)","Menemerus semilimbatus",NA,"IT","","Calabria","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",38.830537,16.628839,842,NA,NA,NA,NA,NA,"2023-06-10T12:08:00",10,6,2023,2169069,2169069,"HUMAN_OBSERVATION","iNaturalist","Observations","166585320",NA,"sotruk","2023-06-10T13:37:40","CC_BY_NC_4_0","sotruk","sotruk",NA,NA,2023-06-21 11:24:44,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4134099937,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/167054863","Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Menemerus","Menemerus semilimbatus",NA,"SPECIES","Menemerus semilimbatus (Hahn, 1829)","Menemerus semilimbatus",NA,"IT","","Lazio","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",41.357151,13.427679,NA,NA,NA,NA,NA,NA,"2022-06-10T17:44:50",10,6,2022,2169069,2169069,"HUMAN_OBSERVATION","iNaturalist","Observations","167054863",NA,"wendyblackwolf","2023-06-12T18:17:38","CC_BY_NC_4_0","wendyblackwolf","wendyblackwolf",NA,NA,2023-06-21 11:12:50,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4134038544,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/167052532","Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Menemerus","Menemerus semilimbatus",NA,"SPECIES","Menemerus semilimbatus (Hahn, 1829)","Menemerus semilimbatus",NA,"IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.122046,10.444624,110,NA,NA,NA,NA,NA,"2023-06-12T18:57:17",12,6,2023,2169069,2169069,"HUMAN_OBSERVATION","iNaturalist","Observations","167052532",NA,"Denise","2023-06-12T19:16:04","CC_BY_NC_4_0","fabriziolanfredi","fabriziolanfredi",NA,NA,2023-06-21 11:12:49,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4133994661,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/166627843","Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Menemerus","Menemerus semilimbatus",NA,"SPECIES","Menemerus semilimbatus (Hahn, 1829)","Menemerus semilimbatus",NA,"IT","","Liguria","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",44.274237,9.515453,2,NA,NA,NA,NA,NA,"2023-06-10T11:23:00",10,6,2023,2169069,2169069,"HUMAN_OBSERVATION","iNaturalist","Observations","166627843",NA,"Francis Birlenbach","2023-06-10T17:28:39","CC_BY_NC_4_0","Francis Birlenbach","Francis Birlenbach",NA,NA,2023-06-21 11:24:31,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4133971736,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/166981988","Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Menemerus","Menemerus semilimbatus",NA,"SPECIES","Menemerus semilimbatus (Hahn, 1829)","Menemerus semilimbatus",NA,"IT","","Lazio","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",41.919346,12.459579,NA,NA,NA,NA,NA,NA,"2023-06-12T11:09:52",12,6,2023,2169069,2169069,"HUMAN_OBSERVATION","iNaturalist","Observations","166981988",NA,"gretanero","2023-06-12T09:11:19","CC_BY_NC_4_0","gretanero","gretanero",NA,NA,2023-06-21 11:12:47,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4133965472,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/167010743","Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Menemerus","Menemerus semilimbatus",NA,"SPECIES","Menemerus semilimbatus (Hahn, 1829)","Menemerus semilimbatus",NA,"IT","","Trentino-Alto Adige","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.908438,10.843053,3,NA,NA,NA,NA,NA,"2023-06-12T15:54:22",12,6,2023,2169069,2169069,"HUMAN_OBSERVATION","iNaturalist","Observations","167010743",NA,"Daniel Iversen","2023-06-12T13:55:37","CC_BY_NC_4_0","Daniel Iversen","Daniel Iversen",NA,NA,2023-06-21 11:12:32,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4133962095,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/166830212","Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Menemerus","Menemerus semilimbatus",NA,"SPECIES","Menemerus semilimbatus (Hahn, 1829)","Menemerus semilimbatus",NA,"IT","","Veneto","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.497222,12.241338,1,NA,NA,NA,NA,NA,"2023-06-09T16:25:00",9,6,2023,2169069,2169069,"HUMAN_OBSERVATION","iNaturalist","Observations","166830212",NA,"GF","2023-06-11T16:33:01","CC_BY_NC_4_0","GF","GF",NA,NA,2023-06-21 11:12:52,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
